gb_id;original_title;original_author;title;subtitle;authors;publisher;pub_date;language;categories;isbn13;isbn10;asin;price_amount;price_currency
b1BqjwEACAAJ;Everybody Lies: Big Data, New Data, and What the Internet Can Tell Us About Who We Really Are;Seth Stephens-Davidowitz;Everybody Lies;Big Data, New Data, and What the Internet Can Tell Us About Who We Really Are;Seth Stephens-Davidowitz;Dey Street Books;2017-05-09;en;Social Science;9780062390851;0062390856;;;
CxD-DAAAQBAJ;Weapons of Math Destruction: How Big Data Increases Inequality and Threatens Democracy;Cathy O'Neil;Weapons of Math Destruction;How Big Data Increases Inequality and Threatens Democracy;Cathy O'Neil;Crown Publishing Group (NY);2016;en;Business & Economics;9780553418811;0553418815;;;
uy4lh-WEhhIC;Big Data: A Revolution That Will Transform How We Live, Work, and Think;Viktor Mayer-Schönberger;Big Data;A Revolution that Will Transform how We Live, Work, and Think;Viktor Mayer-Schönberger|Kenneth Cukier;Houghton Mifflin Harcourt;2013;en;Business & Economics;9780544002692;0544002695;;;
o2z_jwEACAAJ;The Art of Invisibility: The World's Most Famous Hacker Teaches You How to Be Safe in the Age of Big Brother and Big Data;Kevin D. Mitnick;The Art of Invisibility;The World's Most Famous Hacker Teaches You How to Be Safe in the Age of Big Brother and Big Data;Kevin Mitnick;Little, Brown;2017-02-14;en;Computers;9780316380508;0316380504;;;
UKXtyQEACAAJ;Life After Google: The Fall of Big Data and the Rise of the Blockchain Economy;George Gilder;Life After Google;The Fall of Big Data and the Rise of the Blockchain Economy;George Gilder;Regnery Gateway;2018-07-17;en;Business & Economics;9781621575764;1621575764;;;
hWUGCAAAQBAJ;Big Data Baseball: Math, Miracles, and the End of a 20-Year Losing Streak;Travis Sawchik;Big Data Baseball;Math, Miracles, and the End of a 20-Year Losing Streak;Travis Sawchik;Macmillan;2015-05-19;en;Sports & Recreation;9781250063502;1250063507;;;
qlqNEAAAQBAJ;Smart Cities: Big Data, Civic Hackers, and the Quest for a New Utopia;Anthony M. Townsend;Smart Cities;Big Data Civic Hackers And The Quest For A New Utopia;Anthony M Townsend;National Geographic Books;2014-10-07;en;Social Science;9780393349788;0393349780;;;
y9inmwEACAAJ;Uncharted: Big Data as a Lens on Human Culture;Erez Aiden;Uncharted;Big Data as a Lens on Human Culture;Erez Aiden|Jean-Baptiste Michel;Riverhead Books (Hardcover);2013;en;Computers;9781594487453;1594487456;;;
-EyPEAAAQBAJ;The Internet of Us: Knowing More and Understanding Less in the Age of Big Data;Michael Patrick Lynch;The Internet of Us;Knowing More and Understanding Less in the Age of Big Data;Michael P. Lynch;National Geographic Books;2016-04-05;en;Philosophy;9780871406613;0871406616;;;
HW-kMQEACAAJ;Big Data: Principles and best practices of scalable realtime data systems;Nathan Marz;Big Data;Principles and Best Practices of Scalable Realtime Data Systems;Nathan Marz|James Warren;Manning Publications Company;2015;en;Computers;9781617290343;1617290343;;;
zChIDAAAQBAJ;Streaming, Sharing, Stealing: Big Data and the Future of Entertainment;Michael D.       Smith;Streaming, Sharing, Stealing;Big Data and the Future of Entertainment;Michael D. Smith|Rahul Telang;MIT Press;2016-08-05;en;Business & Economics;9780262034791;0262034794;;;
nfBVvgAACAAJ;Data Strategy: How to Profit from a World of Big Data, Analytics and the Internet of Things;Bernard Marr;Data Strategy;How to Profit from a World of Big Data, Analytics and the Internet of Things;Bernard Marr;;2017;en;Business & Economics;9780749479855;074947985X;;;
UTuxMQEACAAJ;The Human Face of Big Data;Rick  Smolan;The Human Face of Big Data;;Rick Smolan|Jennifer Erwitt;;2012;en;Big data;9781454908272;1454908270;;;
apjBAgAAQBAJ;Big data @ work : dispelling the myths, uncovering the opportunities;Thomas H. Davenport;Big Data at Work;Dispelling the Myths, Uncovering the Opportunities;Thomas Davenport;Harvard Business Review Press;2014-02-25;en;Business & Economics;9781422168165;1422168166;;;
KaR_oAEACAAJ;Python for Finance: Analyze Big Financial Data;Yves Hilpisch;Python for Finance;Analyze Big Financial Data;Yves Hilpisch;Oreilly & Associates Incorporated;2014-12-27;en;Business & Economics;9781491945285;1491945281;;;
KaR_oAEACAAJ;Python for Finance: Analyze Big Financial Data;Yves Hilpisch;Python for Finance;Analyze Big Financial Data;Yves Hilpisch;Oreilly & Associates Incorporated;2014-12-27;en;Business & Economics;9781491945285;1491945281;;;
NXw7DwAAQBAJ;Big Data: A Very Short Introduction;Dawn E. Holmes;Big Data;A Very Short Introduction;Dawn E. Holmes;Oxford University Press;2017;en;Computers;9780198779575;0198779577;;;
ga0yEAAAQBAJ;Big Data: Does Size Matter?;Timandra Harkness;Big Data;Does Size Matter?;Timandra Harkness;Bloomsbury Publishing;2016-07-12;en;Computers;9781472920058;1472920058;;;
