titulo,autor_principal,rating,ratings_count,book_url,isbn10,isbn13,asin,source_name,source_file,row_number,autores,editorial,fecha_publicacion_raw,idioma_raw,categorias,precio,moneda,titulo_normalizado,idioma,fecha_publicacion,autores_list,categorias_list,anio_publicacion,longitud_titulo,autor_normalizado,editorial_normalizada,book_id,has_isbn13,has_precio,prioridad_fuente,error_codes,has_error,source_id,book_id_candidato,ts_ingesta
Big Data in Practice: How 45 Successful Companies Used Big Data Analytics to Deliver Extraordinary Results,Bernard Marr,3.41,295.0,https://www.goodreads.com/book/show/29909820-big-data-in-practice?from_search=true&from_srp=true&qid=rHTJU0eEwR&rank=22,,,B01DCOYDUS,goodreads,goodreads_books.json,1,,,,,,,,big data in practice: how 45 successful companies used big data analytics to deliver extraordinary results,,,[],[],,106,bernard marr,,037424ccc6228d8d2d682491a4f1d39eaec6605b,False,False,2,[],False,1,037424ccc6228d8d2d682491a4f1d39eaec6605b,2025-11-24T15:01:03.102473+00:00
"What To Do When Machines Do Everything: How to Get Ahead in a World of AI, Algorithms, Bots, and Big Data",Malcolm Frank,3.5700000000000003,495.0,https://www.goodreads.com/book/show/34026641-what-to-do-when-machines-do-everything?from_search=true&from_srp=true&qid=ZTBf6dR8o1&rank=14,,,B01N7UAGFJ,goodreads,goodreads_books.json,2,,,,,,,,"what to do when machines do everything: how to get ahead in a world of ai, algorithms, bots, and big data",,,[],[],,105,malcolm frank,,2a9ab6082e1d9cb1ec13b77a0f2912252e034871,False,False,2,[],False,2,2a9ab6082e1d9cb1ec13b77a0f2912252e034871,2025-11-24T15:01:03.102473+00:00
"Big Data: Using SMART Big Data, Analytics and Metrics To Make Better Decisions and Improve Performance",Bernard Marr,3.59,411.0,https://www.goodreads.com/book/show/24520575-big-data?from_search=true&from_srp=true&qid=ZTBf6dR8o1&rank=19,,,B00S4TBEJK,goodreads,goodreads_books.json,3,,,,,,,,"big data: using smart big data, analytics and metrics to make better decisions and improve performance",,,[],[],,102,bernard marr,,6f8720e88863d172667a6b0588f84667fc0e94ca,False,False,2,[],False,3,6f8720e88863d172667a6b0588f84667fc0e94ca,2025-11-24T15:01:03.102473+00:00
Everybody Lies,Seth Stephens-Davidowitz,,,,0062390856,9780062390851,,googlebooks,googlebooks_books.csv,1,Seth Stephens-Davidowitz,Dey Street Books,2017-05-09,en,Social Science,,,everybody lies,en,2017-05-09,['Seth Stephens-Davidowitz'],['Social Science'],2017.0,14,seth stephens-davidowitz,dey street books,9780062390851,True,False,3,[],False,4,9780062390851,2025-11-24T15:01:03.102473+00:00
"Everybody Lies: Big Data, New Data, and What the Internet Can Tell Us About Who We Really Are",Seth Stephens-Davidowitz,3.91,42385.0,https://www.goodreads.com/book/show/28512671-everybody-lies?from_search=true&from_srp=true&qid=3odD26wfvY&rank=1,0062390856,9780062390851,0062390856,goodreads,goodreads_books.json,4,,,,,,,,"everybody lies: big data, new data, and what the internet can tell us about who we really are",,,[],[],,93,seth stephens-davidowitz,,9780062390851,True,False,2,[],False,5,9780062390851,2025-11-24T15:01:03.102473+00:00
Big Data,Dawn E. Holmes,,,,0198779577,9780198779575,,googlebooks,googlebooks_books.csv,2,Dawn E. Holmes,Oxford University Press,2017,en,Computers,,,big data,en,2017-01-01,['Dawn E. Holmes'],['Computers'],2017.0,8,dawn e. holmes,oxford university press,9780198779575,True,False,3,[],False,6,9780198779575,2025-11-24T15:01:03.102473+00:00
Big Data: A Very Short Introduction,Dawn E. Holmes,3.66,248.0,https://www.goodreads.com/book/show/34927488-big-data?from_search=true&from_srp=true&qid=rHTJU0eEwR&rank=23,0198779577,9780198779575,0198779577,goodreads,goodreads_books.json,5,,,,,,,,big data: a very short introduction,,,[],[],,35,dawn e. holmes,,9780198779575,True,False,2,[],False,7,9780198779575,2025-11-24T15:01:03.102473+00:00
"Streaming, Sharing, Stealing",Michael D. Smith,,,,0262034794,9780262034791,,googlebooks,googlebooks_books.csv,3,Michael D. Smith|Rahul Telang,MIT Press,2016-08-05,en,Business & Economics,,,"streaming, sharing, stealing",en,2016-08-05,['Michael D. Smith' 'Rahul Telang'],['Business & Economics'],2016.0,28,michael d. smith,mit press,9780262034791,True,False,3,[],False,8,9780262034791,2025-11-24T15:01:03.102473+00:00
"Streaming, Sharing, Stealing: Big Data and the Future of Entertainment",Michael D.       Smith,3.95,625.0,https://www.goodreads.com/book/show/29889439-streaming-sharing-stealing?from_search=true&from_srp=true&qid=ZTBf6dR8o1&rank=13,0262034794,9780262034791,0262034794,goodreads,goodreads_books.json,6,,,,,,,,"streaming, sharing, stealing: big data and the future of entertainment",,,[],[],,70,michael d.       smith,,9780262034791,True,False,2,[],False,9,9780262034791,2025-11-24T15:01:03.102473+00:00
The Art of Invisibility,Kevin Mitnick,,,,0316380504,9780316380508,,googlebooks,googlebooks_books.csv,4,Kevin Mitnick,"Little, Brown",2017-02-14,en,Computers,,,the art of invisibility,en,2017-02-14,['Kevin Mitnick'],['Computers'],2017.0,23,kevin mitnick,"little, brown",9780316380508,True,False,3,[],False,10,9780316380508,2025-11-24T15:01:03.102473+00:00
