book_id,titulo,titulo_normalizado,autor_principal,autores,editorial,anio_publicacion,fecha_publicacion,idioma,isbn10,isbn13,asin,paginas,formato,categorias,precio,moneda,fuente_ganadora,ts_ultima_act
037424ccc6228d8d2d682491a4f1d39eaec6605b,Big Data in Practice: How 45 Successful Companies Used Big Data Analytics to Deliver Extraordinary Results,big data in practice: how 45 successful companies used big data analytics to deliver extraordinary results,Bernard Marr,[],,,,,,,B01DCOYDUS,,,[],,,goodreads,2025-11-24T15:01:03.101196+00:00
2a9ab6082e1d9cb1ec13b77a0f2912252e034871,"What To Do When Machines Do Everything: How to Get Ahead in a World of AI, Algorithms, Bots, and Big Data","what to do when machines do everything: how to get ahead in a world of ai, algorithms, bots, and big data",Malcolm Frank,[],,,,,,,B01N7UAGFJ,,,[],,,goodreads,2025-11-24T15:01:03.101196+00:00
6f8720e88863d172667a6b0588f84667fc0e94ca,"Big Data: Using SMART Big Data, Analytics and Metrics To Make Better Decisions and Improve Performance","big data: using smart big data, analytics and metrics to make better decisions and improve performance",Bernard Marr,[],,,,,,,B00S4TBEJK,,,[],,,goodreads,2025-11-24T15:01:03.101196+00:00
9780062390851,Everybody Lies,everybody lies,Seth Stephens-Davidowitz,['Seth Stephens-Davidowitz'],Dey Street Books,2017.0,2017-05-09,en,0062390856,9780062390851,0062390856,,,['Social Science'],,,googlebooks,2025-11-24T15:01:03.101196+00:00
9780198779575,Big Data,big data,Dawn E. Holmes,['Dawn E. Holmes'],Oxford University Press,2017.0,2017-01-01,en,0198779577,9780198779575,0198779577,,,['Computers'],,,googlebooks,2025-11-24T15:01:03.101196+00:00
9780262034791,"Streaming, Sharing, Stealing","streaming, sharing, stealing",Michael D. Smith,['Michael D. Smith' 'Rahul Telang'],MIT Press,2016.0,2016-08-05,en,0262034794,9780262034791,0262034794,,,['Business & Economics'],,,googlebooks,2025-11-24T15:01:03.101196+00:00
9780316380508,The Art of Invisibility,the art of invisibility,Kevin Mitnick,['Kevin Mitnick'],"Little, Brown",2017.0,2017-02-14,en,0316380504,9780316380508,0316380504,,,['Computers'],,,googlebooks,2025-11-24T15:01:03.101196+00:00
9780393349788,Smart Cities,smart cities,Anthony M Townsend,['Anthony M Townsend'],National Geographic Books,2014.0,2014-10-07,en,0393349780,9780393349788,0393349780,,,['Social Science'],,,googlebooks,2025-11-24T15:01:03.101196+00:00
9780544002692,Big Data,big data,Viktor Mayer-Schönberger,['Kenneth Cukier' 'Viktor Mayer-Schönberger'],Houghton Mifflin Harcourt,2013.0,2013-01-01,en,0544002695,9780544002692,0544002695,,,['Business & Economics'],,,googlebooks,2025-11-24T15:01:03.101196+00:00
9780553418811,Weapons of Math Destruction,weapons of math destruction,Cathy O'Neil,"[""Cathy O'Neil""]",Crown Publishing Group (NY),2016.0,2016-01-01,en,0553418815,9780553418811,0553418815,,,['Business & Economics'],,,googlebooks,2025-11-24T15:01:03.101196+00:00
